cik,filingdate,complexity,log_netfilesize,json_complexity_score
6201,20200219,0.49171498,13.469071,0.35810373759058056
6201,20200219,0.49171498,13.469071,0.35810373759058056
6201,20210217,0.3525539,15.10536,0.2634696904538314
6201,20210217,0.3525539,15.10536,0.2634696904538314
6281,20211203,0.39052683,13.38121,0.2780398192741175
6845,20160425,0.35087717,12.167223,0.22947475777664456
6845,20170428,0.35640281,12.218994,0.2230075136377672
6845,20180430,0.49061495,12.448235,0.2888704629951588
6845,20190426,0.3441931,12.851759,0.22901038661281015
6845,20200424,0.38581598,12.312831,0.27421467962584933
6845,20210422,0.37211773,12.34873,0.2526499201393931
6885,20160330,0.28902727,12.384219,0.20817292611286964
6885,20170404,0.26953247,12.369249,0.18160329768527858
6885,20180410,0.28164795,12.49929,0.18520372409650618
6885,20190405,0.23993097,12.557127,0.1660624488363934
6951,20161215,0.7097888,12.764813,0.4955519732521344
6951,20171215,0.71733123,12.730745,0.4883074070258576
6951,20181213,0.65537423,12.719908,0.4461121534292266
6951,20191213,0.50605929,12.768781,0.3659931376286695
6951,20201211,0.64299321,12.622025,0.4727068092290377
6951,20211217,0.64090312,12.596898,0.47530721075817295
6955,20161028,0.62570328,12.615878,0.4299839043458266
6955,20171026,0.49838206,12.95706,0.35595786489707826
6955,20181029,0.4720313,13.009829,0.3464722822174226
6955,20191029,0.60017365,12.643559,0.42103397079353827
6955,20201026,0.42170361,12.738898,0.30345248773784755
6955,20211025,0.48682472,12.478566,0.3680767987266533
7039,20160311,0.35573027,12.678655,0.24271844660194172
7039,20170316,0.36834121,12.740016,0.24329501915708812
7039,20180312,0.33685207,12.817383,0.2352941176470588
7039,20190315,0.39084968,13.032487,0.2591692025450998
7039,20200313,0.37128192,12.844645,0.2712092742936151
7039,20210309,0.358197,12.477877,0.26330967725756704
7084,20160219,0.74559504,13.128876,0.544045213854666
7084,20170217,0.88987768,12.958818,0.6352873231302338
7084,20180216,0.88954175,12.920986,0.6213364595545134
7084,20190219,0.92364281,12.934447,0.6434067391881136
7084,20200218,0.7977736,12.864812,0.5645471388121788
7084,20210218,0.75745422,12.867024,0.5345401759029972
7332,20160225,0.71205747,13.250289,0.49905507712154995
7332,20170223,0.83188552,13.188078,0.5580886376071493
7332,20180301,0.86595303,13.120101,0.5849952017247498
7332,20190228,0.80788362,13.284401,0.5676762443260535
7332,20200227,0.74350995,13.205264,0.5482757384999463
7332,20210301,0.72065645,13.351616,0.5452495007914911
7789,20160205,0.48243493,13.443184,0.3285837737896662
7789,20170206,0.55267817,13.255556,0.38329610234250067
7789,20180206,0.46741766,13.049619,0.33140870794791727
7789,20190219,0.47204542,13.074708,0.3367730236172877
7789,20200211,0.41973004,13.231071,0.31275352435597464
7789,20210209,0.31884849,13.486259,0.23639815179626777
8063,20170224,0.39065298,12.334299,0.25056746160422133
8063,20180301,0.38778797,12.414151,0.2390005431830527
8063,20190301,0.36727062,12.280874,0.2567820675487886
8063,20200302,0.46377951,12.348929,0.3307140030527447
8063,20210301,0.55323839,12.460126,0.4132860040567951
8411,20161115,0.44015828,12.639704,0.3386270601598834
8670,20160805,0.44361913,12.849557,0.2906208718626156
8670,20170804,0.36594865,13.143452,0.25570162977503424
8670,20180803,0.47426909,12.994967,0.33919961060493137
8670,20190809,0.40851781,12.748228,0.2803626819374851
8670,20200805,0.29373494,12.86132,0.22150624244865083
8670,20210804,0.46004179,12.766836,0.3461118844287273
8858,20160812,0.66747391,12.530476,0.3981533501062557
8858,20170817,0.53426856,12.732315,0.3471740036106096
8858,20180817,0.30064756,13.256936,0.20581222727068244
8858,20190815,0.65229207,12.515735,0.4085622618808903
8858,20200814,0.6117909,12.256119,0.3857008466603951
8858,20210813,0.50807822,12.25697,0.3495412271393796
8868,20160223,0.71582824,13.263325,0.5424536485501799
8868,20170222,0.6697433,13.315768,0.512994399719986
8868,20180222,0.63858902,13.242822,0.4827399898988713
8868,20190221,0.51644117,13.597803,0.40169749586964265
8947,20160421,0.38722965,12.208869,0.24672998276269983
8947,20170420,0.4210096,12.212154,0.2594427035951346
8947,20180515,0.41887951,12.278709,0.27261617522639675
8947,20190517,0.4472461,12.341088,0.29307282415630553
8947,20200429,0.36317348,12.244042,0.24940079030899787
